tab 	er_locations
plate_block	location_type	er_citation_names	continent_ocean	country	location_begin_lon	er_location_name	location_end_lat	location_begin_lat	location_end_lon
Laurentia	Land Section	This study	North America	Canada	272.34	Simpson Island	48.7363	48.8122	272.30
>>>>>>>>>>
tab 	er_samples
sample_dip	er_citation_names	sample_lithology	er_site_name	er_sample_name	sample_description	sample_lat	er_location_name	sample_type	magic_method_codes	sample_azimuth	sample_lon	sample_class
-20	This study	Diabase	SI1(69.7 to 87.6)	SI1-80.3	oriented core	48.8078	Simpson Island	Sill	FS-FD:SO-POM:SO-CMD-NORTH	300.00	272.34	Intrusive : Igneous
-69	This study	Diabase	SI1(69.7 to 87.6)	SI1-80.7	oriented core	48.8078	Simpson Island	Sill	FS-FD:SO-POM:SO-CMD-NORTH	275.00	272.34	Intrusive : Igneous
-59	This study	Diabase	SI1(69.7 to 87.6)	SI1-81.8	oriented core	48.8078	Simpson Island	Sill	FS-FD:SO-POM:SO-CMD-NORTH	278.00	272.34	Intrusive : Igneous
-96	This study	Diabase	SI1(69.7 to 87.6)	SI1-82.1	oriented core	48.8078	Simpson Island	Sill	FS-FD:SO-POM:SO-CMD-NORTH	299.00	272.34	Intrusive : Igneous
-84	This study	Diabase	SI1(69.7 to 87.6)	SI1-84.5	oriented core	48.8078	Simpson Island	Sill	FS-FD:SO-POM:SO-CMD-NORTH	1.00	272.34	Intrusive : Igneous
-82	This study	Diabase	SI1(69.7 to 87.6)	SI1-86.1	oriented core	48.8078	Simpson Island	Sill	FS-FD:SO-POM:SO-CMD-NORTH	340.00	272.34	Intrusive : Igneous
-19	This study	Diabase	SI1(69.7 to 87.6)	SI1-86.4	oriented core	48.8078	Simpson Island	Sill	FS-FD:SO-POM:SO-CMD-NORTH	176.00	272.34	Intrusive : Igneous
-72	This study	Basalt	SI1(87.6 to 88.5)	SI1-88.25	oriented core	48.8073	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	162.00	272.34	Igneous : Extrusive
-75	This study	Basalt	SI1(87.6 to 88.5)	SI1-88.3	oriented core	48.8073	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	165.00	272.34	Igneous : Extrusive
-72	This study	Basalt	SI1(87.6 to 88.5)	SI1-88.35	oriented core	48.8073	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	159.00	272.34	Igneous : Extrusive
